wiki,overall size rank,monthly unique devices,mobile unique devices,mobile web pageviews,mobile app pageviews,unique devices per editor,monthly editors,monthly active editors,monthly active administrators,majority-mobile editors,monthly new active editors,second-month new editor retention,monthly nonbot edits,bot edits,mobile edits,visual edits,anonymous edits,revert rate,edits Gini coefficient,monthly flow messages,content pages,cumulative content edits,edits per content page,script direction,database code,project code,language code,domain name,language name,project name,wiki name
Guarani Wikipedia,260,"39,971",59.6%,28.9%,0.1%,"2,710",15,3,2,8.9%,0,20.0%,198,5.7%,5.2%,4.1%,8.3%,4.4%,0.91,0,"3,562","17,862",5,left-to-right,gnwiki,wikipedia,gn,https://gn.wikipedia.org,Guarani,Wikipedia,Guarani Wikipedia
Old English Wikipedia,261,"47,854",10.6%,5.9%,12.2%,"2,261",21,2,2,14.9%,0,16.7%,341,1.8%,3.8%,49.4%,8.7%,3.7%,0.93,0,"3,020","35,934",12,left-to-right,angwiki,wikipedia,ang,https://ang.wikipedia.org,Old English,Wikipedia,Old English Wikipedia
Chinese Wikivoyage,262,"12,181",46.5%,22.8%,0.1%,293,42,9,2,11.3%,2,7.7%,"1,486",0.3%,2.4%,2.1%,2.9%,8.6%,0.94,0,"2,569","50,153",20,left-to-right,zhwikivoyage,wikivoyage,zh,https://zh.wikivoyage.org,Chinese,Wikivoyage,Chinese Wikivoyage
Dutch Wikivoyage,263,"17,488",47.4%,23.1%,0.0%,882,20,7,1,1.6%,1,0.0%,305,0.4%,2.4%,7.6%,8.9%,6.0%,0.88,0,"3,662","88,604",24,left-to-right,nlwikivoyage,wikivoyage,nl,https://nl.wikivoyage.org,Dutch,Wikivoyage,Dutch Wikivoyage
Banyumasan Wikipedia,264,"70,615",49.4%,30.0%,0.1%,"6,834",10,2,1,17.1%,0,0.0%,231,64.4%,7.1%,0.8%,8.3%,1.3%,0.92,0,"13,325","20,900",2,left-to-right,map_bmswiki,wikipedia,map-bms,https://map-bms.wikipedia.org,Banyumasan,Wikipedia,Banyumasan Wikipedia
Ukrainian Wikivoyage,265,"20,325",54.0%,46.3%,0.0%,"1,047",19,6,1,7.0%,2,6.3%,412,0.2%,1.8%,10.0%,3.1%,3.3%,0.86,0,770,"12,116",16,left-to-right,ukwikivoyage,wikivoyage,uk,https://uk.wikivoyage.org,Ukrainian,Wikivoyage,Ukrainian Wikivoyage
Sindhi Wikipedia,266,"16,442",24.4%,13.3%,0.4%,685,24,7,2,22.8%,1,5.7%,"1,390",28.8%,49.0%,1.7%,4.0%,1.1%,0.95,0,"9,974","48,625",5,right-to-left,sdwiki,wikipedia,sd,https://sd.wikipedia.org,Sindhi,Wikipedia,Sindhi Wikipedia
Rusyn Wikipedia,267,"28,373",33.3%,8.2%,0.1%,"2,015",14,4,1,1.8%,0,12.5%,755,0.5%,0.6%,2.7%,4.6%,6.1%,0.96,0,"6,570","26,953",4,left-to-right,ruewiki,wikipedia,rue,https://rue.wikipedia.org,Rusyn,Wikipedia,Rusyn Wikipedia
Czech Wikibooks,268,"28,247",36.4%,24.5%,0.0%,"2,607",11,4,2,2.9%,1,0.0%,110,54.1%,2.5%,6.4%,10.8%,3.4%,0.85,0,"1,025","20,148",20,left-to-right,cswikibooks,wikibooks,cs,https://cs.wikibooks.org,Czech,Wikibooks,Czech Wikibooks
Scottish Gaelic Wikipedia,269,"17,690",13.0%,3.7%,0.1%,653,27,6,3,5.7%,0,10.0%,768,11.5%,1.0%,5.1%,3.9%,1.3%,0.94,0,"14,718","147,483",10,left-to-right,gdwiki,wikipedia,gd,https://gd.wikipedia.org,Scottish Gaelic,Wikipedia,Scottish Gaelic Wikipedia
Swedish Wikisource,270,"34,822",59.1%,16.4%,0.0%,"3,343",10,3,2,1.3%,0,0.0%,"1,255",17.3%,0.2%,0.1%,1.8%,0.5%,0.95,0,"16,743","175,111",10,left-to-right,svwikisource,wikisource,sv,https://sv.wikisource.org,Swedish,Wikisource,Swedish Wikisource
Armenian Wikisource,271,"41,593",51.6%,39.4%,0.1%,298,140,3,2,1.6%,0,16.9%,"3,572",4.3%,0.1%,0.4%,5.5%,0.9%,0.85,0,"9,656","125,187",13,left-to-right,hywikisource,wikisource,hy,https://hy.wikisource.org,Armenian,Wikisource,Armenian Wikisource
Lao Wikipedia,272,"26,298",49.3%,23.7%,0.4%,"1,475",18,4,1,8.8%,1,3.8%,223,6.2%,39.4%,10.8%,14.1%,1.4%,0.87,0,"2,847","20,393",7,left-to-right,lowiki,wikipedia,lo,https://lo.wikipedia.org,Lao,Wikipedia,Lao Wikipedia
Tamil Wikisource,273,"43,266",75.5%,60.7%,0.0%,"2,461",18,2,2,4.5%,0,16.0%,"1,730",90.4%,0.3%,0.6%,0.8%,1.5%,0.94,0,"7,346","62,244",8,left-to-right,tawikisource,wikisource,ta,https://ta.wikisource.org,Tamil,Wikisource,Tamil Wikisource
Hausa Wikipedia,274,"24,034",68.2%,33.9%,0.1%,"1,502",16,4,3,20.4%,1,25.0%,369,1.8%,18.1%,2.1%,4.3%,2.5%,0.91,0,"1,854","8,313",4,left-to-right,hawiki,wikipedia,ha,https://ha.wikipedia.org,Hausa,Wikipedia,Hausa Wikipedia
Piedmontese Wikipedia,275,"18,766",19.9%,4.5%,0.1%,668,28,5,2,4.7%,0,0.0%,402,2.6%,2.3%,1.6%,5.9%,1.2%,0.91,0,"64,366","120,273",2,left-to-right,pmswiki,wikipedia,pms,https://pms.wikipedia.org,Piedmontese,Wikipedia,Piedmontese Wikipedia
Arabic Wikiversity,276,"47,446",70.3%,64.2%,0.0%,"1,757",27,2,2,43.9%,1,1.7%,226,47.8%,29.6%,4.5%,17.8%,7.5%,0.82,0,"1,038","5,956",6,right-to-left,arwikiversity,wikiversity,ar,https://ar.wikiversity.org,Arabic,Wikiversity,Arabic Wikiversity
Mingrelian Wikipedia,277,"22,721",19.7%,5.0%,0.1%,"1,228",19,4,1,4.8%,0,33.3%,406,5.1%,39.1%,1.5%,4.8%,1.2%,0.94,0,"12,506","60,439",5,left-to-right,xmfwiki,wikipedia,xmf,https://xmf.wikipedia.org,Mingrelian,Wikipedia,Mingrelian Wikipedia
Thai Wikiquote,278,"22,751",61.5%,49.6%,0.0%,"1,319",17,4,2,8.4%,1,0.0%,492,0.2%,2.1%,0.3%,26.6%,11.1%,0.86,0,"2,375","10,573",4,left-to-right,thwikiquote,wikiquote,th,https://th.wikiquote.org,Thai,Wikiquote,Thai Wikiquote
Volapük Wikipedia,279,"15,692",15.7%,4.2%,0.0%,579,27,6,1,5.2%,0,100.0%,309,5.8%,0.9%,0.8%,21.1%,1.5%,0.88,0,"121,064","98,197",1,left-to-right,vowiki,wikipedia,vo,https://vo.wikipedia.org,Volapük,Wikipedia,Volapük Wikipedia
Emiliano-Romagnolo Wikipedia,280,"21,317",35.0%,9.1%,0.2%,"1,031",21,4,2,6.1%,1,100.0%,676,1.0%,1.1%,0.4%,10.8%,1.5%,0.94,0,"10,271","46,529",5,left-to-right,emlwiki,wikipedia,eml,https://eml.wikipedia.org,Emiliano-Romagnolo,Wikipedia,Emiliano-Romagnolo Wikipedia
Yoruba Wikipedia,281,"21,503",31.5%,6.6%,0.1%,935,23,4,3,6.6%,0,16.7%,289,30.5%,3.3%,2.7%,13.1%,4.2%,0.89,0,"31,672","85,906",3,left-to-right,yowiki,wikipedia,yo,https://yo.wikipedia.org,Yoruba,Wikipedia,Yoruba Wikipedia
Zazaki Wikipedia,282,"17,967",18.6%,3.7%,0.1%,941,19,5,2,8.5%,1,14.3%,638,1.0%,1.2%,0.7%,9.1%,2.9%,0.94,0,"8,802","93,490",11,left-to-right,diqwiki,wikipedia,diq,https://diq.wikipedia.org,Zazaki,Wikipedia,Zazaki Wikipedia
West Flemish Wikipedia,283,"26,030",27.1%,7.8%,0.1%,"1,370",19,4,2,5.3%,1,10.0%,219,5.2%,3.8%,8.4%,11.7%,4.7%,0.90,0,"6,456","82,707",13,left-to-right,vlswiki,wikipedia,vls,https://vls.wikipedia.org,West Flemish,Wikipedia,West Flemish Wikipedia
Croatian Wiktionary,284,"54,246",53.3%,43.4%,0.0%,"8,346",7,2,1,7.0%,0,0.0%,58,77.5%,12.8%,2.4%,34.5%,13.6%,0.81,0,"32,676","90,427",3,left-to-right,hrwiktionary,wiktionary,hr,https://hr.wiktionary.org,Croatian,Wiktionary,Croatian Wiktionary
Tagalog Wikibooks,285,"151,982",66.5%,57.2%,0.0%,"28,949",5,1,1,28.0%,0,0.0%,156,0.4%,35.2%,4.5%,91.6%,23.5%,0.94,0,152,"13,819",91,left-to-right,tlwikibooks,wikibooks,tl,https://tl.wikibooks.org,Tagalog,Wikibooks,Tagalog Wikibooks
Greek Wikibooks,286,"15,527",33.5%,24.0%,0.0%,"1,267",12,6,0,3.7%,2,45.9%,237,1.0%,6.5%,4.4%,55.9%,4.4%,0.82,0,234,"35,607",152,left-to-right,elwikibooks,wikibooks,el,https://el.wikibooks.org,Greek,Wikibooks,Greek Wikibooks
Hebrew Wikivoyage,287,"35,571",56.0%,34.3%,0.0%,"2,295",16,2,1,4.8%,0,0.0%,"1,841",1.8%,0.4%,2.4%,3.0%,1.8%,0.98,0,"2,054","91,824",45,right-to-left,hewikivoyage,wikivoyage,he,https://he.wikivoyage.org,Hebrew,Wikivoyage,Hebrew Wikivoyage
Pampanga Wikipedia,288,"30,971",38.1%,13.2%,0.1%,"2,161",14,3,3,7.2%,0,20.0%,123,8.3%,14.4%,3.1%,19.7%,4.0%,0.84,0,"8,550","35,783",4,left-to-right,pamwiki,wikipedia,pam,https://pam.wikipedia.org,Pampanga,Wikipedia,Pampanga Wikipedia
Ligurian Wikipedia,289,"14,242",22.7%,5.2%,0.1%,763,19,6,2,4.4%,0,66.7%,488,3.2%,0.8%,10.2%,1.6%,4.0%,0.91,0,"3,412","20,749",6,left-to-right,lijwiki,wikipedia,lij,https://lij.wikipedia.org,Ligurian,Wikipedia,Ligurian Wikipedia
Maltese Wikipedia,290,"23,641",30.0%,10.0%,0.1%,"1,117",21,4,3,5.7%,1,7.1%,160,19.5%,4.0%,20.9%,26.2%,4.3%,0.85,0,"3,310","77,792",24,left-to-right,mtwiki,wikipedia,mt,https://mt.wikipedia.org,Maltese,Wikipedia,Maltese Wikipedia
Low Saxon Wikipedia,291,"24,472",18.5%,5.2%,0.2%,"1,454",17,3,2,4.4%,0,20.0%,245,2.3%,10.6%,7.1%,29.5%,3.8%,0.91,0,"6,770","72,229",11,left-to-right,nds_nlwiki,wikipedia,nds-nl,https://nds-nl.wikipedia.org,Low Saxon,Wikipedia,Low Saxon Wikipedia
Upper Sorbian Wikipedia,292,"20,991",26.5%,6.8%,0.1%,988,21,4,2,3.6%,0,16.7%,978,3.9%,0.3%,1.1%,2.7%,1.1%,0.97,0,"12,862","95,053",7,left-to-right,hsbwiki,wikipedia,hsb,https://hsb.wikipedia.org,Upper Sorbian,Wikipedia,Upper Sorbian Wikipedia
Greek Wikiquote,293,"56,889",53.3%,45.3%,0.0%,"9,352",6,1,1,8.7%,0,16.7%,56,1.6%,11.1%,3.1%,17.4%,8.7%,0.77,0,"1,824","15,588",9,left-to-right,elwikiquote,wikiquote,el,https://el.wikiquote.org,Greek,Wikiquote,Greek Wikiquote
Ladino Wikipedia,294,"15,919",25.7%,6.7%,0.1%,823,19,5,3,6.1%,0,0.0%,"1,512",0.9%,0.3%,0.5%,1.1%,0.9%,0.97,0,"3,803","57,484",15,left-to-right,ladwiki,wikipedia,lad,https://lad.wikipedia.org,Ladino,Wikipedia,Ladino Wikipedia
Walloon Wikipedia,295,"21,841",20.9%,6.4%,0.1%,"1,579",14,3,2,6.9%,0,50.0%,606,16.1%,0.5%,0.5%,3.3%,2.2%,0.96,1,"14,639","117,336",8,left-to-right,wawiki,wikipedia,wa,https://wa.wikipedia.org,Walloon,Wikipedia,Walloon Wikipedia
Silesian Wikipedia,296,"21,645",28.1%,7.4%,0.1%,"1,091",20,3,2,6.9%,0,100.0%,403,25.9%,2.0%,1.8%,3.0%,1.5%,0.94,0,"7,310","38,646",5,left-to-right,szlwiki,wikipedia,szl,https://szl.wikipedia.org,Silesian,Wikipedia,Silesian Wikipedia
Azerbaijani Wikibooks,297,"20,852",68.2%,55.4%,0.0%,"1,594",13,4,2,12.5%,1,0.0%,155,0.0%,5.4%,1.8%,10.9%,2.6%,0.83,0,"1,716","8,123",5,left-to-right,azwikibooks,wikibooks,az,https://az.wikibooks.org,Azerbaijani,Wikibooks,Azerbaijani Wikibooks
Estonian Wiktionary,298,"19,285",35.9%,13.2%,0.0%,"1,866",10,4,2,3.1%,0,20.0%,"1,322",4.6%,0.3%,0.1%,2.4%,0.3%,0.95,0,"126,423","164,362",1,left-to-right,etwiktionary,wiktionary,et,https://et.wiktionary.org,Estonian,Wiktionary,Estonian Wiktionary
Sardinian Wikipedia,299,"19,718",24.3%,9.5%,0.2%,"1,071",18,4,2,5.1%,0,37.5%,376,1.2%,2.3%,18.9%,6.0%,1.0%,0.92,0,"5,819","46,421",8,left-to-right,scwiki,wikipedia,sc,https://sc.wikipedia.org,Sardinian,Wikipedia,Sardinian Wikipedia
Min Dong Chinese Wikipedia,300,"17,059",11.8%,4.1%,0.2%,"1,431",12,4,2,5.0%,0,100.0%,497,51.6%,6.6%,5.1%,12.1%,1.3%,0.92,0,"13,801","17,784",1,left-to-right,cdowiki,wikipedia,cdo,https://cdo.wikipedia.org,Min Dong Chinese,Wikipedia,Min Dong Chinese Wikipedia
Mongolian Wiktionary,301,"14,299",45.5%,30.5%,0.0%,"1,072",13,5,1,10.0%,1,19.8%,261,10.1%,5.7%,1.6%,16.9%,0.8%,0.84,0,"9,311","204,512",22,left-to-right,mnwiktionary,wiktionary,mn,https://mn.wiktionary.org,Mongolian,Wiktionary,Mongolian Wiktionary
Finnish Wikisource,302,"23,996",55.1%,35.8%,0.0%,"2,909",8,3,2,2.2%,0,0.0%,670,0.1%,0.2%,0.0%,1.7%,1.4%,0.95,0,"10,945","93,399",9,left-to-right,fiwikisource,wikisource,fi,https://fi.wikisource.org,Finnish,Wikisource,Finnish Wikisource
Dutch Wikisource,303,"18,129",41.4%,9.2%,0.0%,942,19,4,3,1.5%,0,0.0%,693,0.6%,1.0%,0.2%,5.5%,1.2%,0.91,0,"6,473","48,880",8,left-to-right,nlwikisource,wikisource,nl,https://nl.wikisource.org,Dutch,Wikisource,Dutch Wikisource
Achinese Wikipedia,304,"19,162",48.9%,22.2%,0.6%,"1,055",18,3,2,11.2%,0,33.3%,960,0.8%,3.1%,0.9%,6.0%,2.0%,0.97,0,"7,437","31,694",4,left-to-right,acewiki,wikipedia,ace,https://ace.wikipedia.org,Achinese,Wikipedia,Achinese Wikipedia
Catalan Wikiquote,305,"12,247",38.9%,17.4%,0.0%,710,17,5,2,4.3%,1,5.6%,761,33.9%,0.3%,19.2%,1.9%,1.4%,0.95,71,"3,175","47,732",15,left-to-right,cawikiquote,wikiquote,ca,https://ca.wikiquote.org,Catalan,Wikiquote,Catalan Wikiquote
Hakka Chinese Wikipedia,306,"21,986",15.2%,5.4%,0.2%,"1,418",16,3,2,5.3%,0,50.0%,460,5.1%,1.9%,0.9%,36.2%,0.8%,0.94,0,"8,689","31,700",4,left-to-right,hakwiki,wikipedia,hak,https://hak.wikipedia.org,Hakka Chinese,Wikipedia,Hakka Chinese Wikipedia
Bulgarian Wikiquote,307,"49,980",50.9%,41.1%,0.0%,"4,544",11,1,1,3.8%,0,0.0%,83,2.4%,10.2%,1.5%,58.4%,22.2%,0.83,0,"2,287","55,276",24,left-to-right,bgwikiquote,wikiquote,bg,https://bg.wikiquote.org,Bulgarian,Wikiquote,Bulgarian Wikiquote
Latin Wikisource,308,"19,995",27.3%,18.7%,0.0%,"1,454",14,3,1,2.4%,0,0.0%,778,25.0%,0.4%,0.1%,1.4%,2.2%,0.92,0,"4,960","59,607",12,left-to-right,lawikisource,wikisource,la,https://la.wikisource.org,Latin,Wikisource,Latin Wikisource
Chinese Wikinews,309,"12,289",43.9%,13.6%,0.0%,620,20,5,4,5.6%,0,0.0%,309,62.5%,1.1%,2.0%,5.4%,13.5%,0.86,0,"7,530","30,770",4,left-to-right,zhwikinews,wikinews,zh,https://zh.wikinews.org,Chinese,Wikinews,Chinese Wikinews
Indonesian Wikisource,310,"43,731",69.8%,37.5%,0.0%,"2,585",17,1,3,2.5%,0,0.0%,281,0.3%,1.6%,2.1%,2.9%,1.2%,0.90,0,"2,548","23,214",9,left-to-right,idwikisource,wikisource,id,https://id.wikisource.org,Indonesian,Wikisource,Indonesian Wikisource
Hungarian Wikiquote,311,"49,837",45.3%,38.6%,0.0%,"4,334",12,1,2,7.5%,0,0.0%,50,1.5%,9.0%,1.3%,25.7%,9.0%,0.74,0,"1,258","23,109",18,left-to-right,huwikiquote,wikiquote,hu,https://hu.wikiquote.org,Hungarian,Wikiquote,Hungarian Wikiquote
Eastern Mari Wikipedia,312,"11,427",16.5%,3.3%,0.0%,589,19,5,2,1.5%,1,13.0%,716,5.7%,1.0%,2.2%,7.3%,2.3%,0.95,0,"10,013","55,352",6,left-to-right,mhrwiki,wikipedia,mhr,https://mhr.wikipedia.org,Eastern Mari,Wikipedia,Eastern Mari Wikipedia
Korean Wikibooks,313,"26,743",47.2%,36.5%,0.0%,"3,275",8,2,1,5.0%,0,0.0%,246,2.8%,4.0%,0.9%,41.5%,4.5%,0.89,0,"1,172","17,929",15,left-to-right,kowikibooks,wikibooks,ko,https://ko.wikibooks.org,Korean,Wikibooks,Korean Wikibooks
Samogitian Wikipedia,314,"18,764",15.2%,3.6%,0.2%,"1,131",17,3,2,4.8%,1,25.0%,171,10.2%,2.1%,6.3%,9.0%,5.2%,0.89,0,"16,281","61,052",4,left-to-right,bat_smgwiki,wikipedia,bat-smg,https://bat-smg.wikipedia.org,Samogitian,Wikipedia,Samogitian Wikipedia
Vietnamese Wikibooks,315,"25,291",45.1%,28.5%,0.0%,"2,863",9,2,2,5.4%,0,0.0%,"2,172",0.1%,0.2%,0.4%,89.5%,5.2%,0.98,0,"1,599","45,870",29,left-to-right,viwikibooks,wikibooks,vi,https://vi.wikibooks.org,Vietnamese,Wikibooks,Vietnamese Wikibooks
Swedish Wikibooks,316,"48,070",60.6%,50.4%,0.0%,"6,203",8,1,3,1.6%,0,2.6%,76,0.7%,5.7%,1.3%,21.0%,8.1%,0.77,0,"1,156","25,909",22,left-to-right,svwikibooks,wikibooks,sv,https://sv.wikibooks.org,Swedish,Wikibooks,Swedish Wikibooks
Iloko Wikipedia,317,"22,236",20.5%,5.3%,0.0%,"1,689",13,3,2,6.5%,0,0.0%,775,45.8%,0.5%,1.7%,1.8%,2.0%,0.97,0,"11,193","86,404",8,left-to-right,ilowiki,wikipedia,ilo,https://ilo.wikipedia.org,Iloko,Wikipedia,Iloko Wikipedia
Azerbaijani Wikiquote,318,"21,417",73.1%,66.5%,0.0%,"1,977",11,3,2,8.4%,0,3.2%,264,0.1%,3.2%,0.6%,5.0%,2.2%,0.93,0,"1,105","36,198",33,left-to-right,azwikiquote,wikiquote,az,https://az.wikiquote.org,Azerbaijani,Wikiquote,Azerbaijani Wikiquote
Northern Frisian Wikipedia,319,"18,951",17.3%,4.5%,0.1%,"1,370",14,3,2,1.0%,0,33.3%,"1,422",7.8%,0.1%,0.1%,0.4%,0.7%,0.97,0,"6,847","70,339",10,left-to-right,frrwiki,wikipedia,frr,https://frr.wikipedia.org,Northern Frisian,Wikipedia,Northern Frisian Wikipedia
Portuguese Wikivoyage,320,"10,409",45.9%,28.9%,0.0%,543,19,5,2,9.6%,1,13.3%,530,0.2%,1.6%,12.1%,3.3%,3.3%,0.92,0,"3,622","80,584",22,left-to-right,ptwikivoyage,wikivoyage,pt,https://pt.wikivoyage.org,Portuguese,Wikivoyage,Portuguese Wikivoyage
Croatian Wikiquote,321,"25,445",58.7%,49.5%,0.0%,"4,300",6,2,1,0.0%,0,0.0%,69,0.7%,3.2%,0.6%,10.1%,2.7%,0.76,0,"1,785","12,738",7,left-to-right,hrwikiquote,wikiquote,hr,https://hr.wikiquote.org,Croatian,Wikiquote,Croatian Wikiquote
Gan Chinese Wikipedia,322,"34,273",34.6%,11.7%,0.4%,"2,836",12,2,2,12.0%,0,0.0%,100,12.4%,13.2%,4.7%,45.8%,20.5%,0.83,0,"6,396","24,454",4,left-to-right,ganwiki,wikipedia,gan,https://gan.wikipedia.org,Gan Chinese,Wikipedia,Gan Chinese Wikipedia
Japanese Wikiquote,323,"54,503",64.2%,50.7%,0.0%,"4,013",14,1,3,7.8%,0,0.0%,64,1.7%,4.8%,0.9%,43.0%,5.0%,0.76,0,875,"10,316",12,left-to-right,jawikiquote,wikiquote,ja,https://ja.wikiquote.org,Japanese,Wikiquote,Japanese Wikiquote
Interlingue Wikipedia,324,"11,036",18.6%,9.7%,0.1%,788,14,4,1,5.1%,1,20.0%,171,1.5%,1.9%,2.1%,10.6%,1.1%,0.88,0,"4,008","18,907",5,left-to-right,iewiki,wikipedia,ie,https://ie.wikipedia.org,Interlingue,Wikipedia,Interlingue Wikipedia
Erzya Wikipedia,325,"9,129",11.3%,2.8%,0.0%,605,15,5,2,8.1%,0,57.1%,"1,119",21.9%,16.8%,7.7%,40.0%,0.2%,0.94,0,"5,287","22,694",4,left-to-right,myvwiki,wikipedia,myv,https://myv.wikipedia.org,Erzya,Wikipedia,Erzya Wikipedia
Shona Wikipedia,326,"26,351",54.1%,23.7%,0.2%,"2,530",10,2,2,17.7%,0,0.0%,610,3.4%,1.3%,1.0%,4.3%,0.4%,0.97,0,"3,630","29,999",8,left-to-right,snwiki,wikipedia,sn,https://sn.wikipedia.org,Shona,Wikipedia,Shona Wikipedia
Bishnupriya Wikipedia,327,"18,101",48.6%,12.1%,0.1%,"1,316",14,3,1,29.8%,1,16.7%,118,76.9%,30.3%,8.7%,14.9%,2.2%,0.78,0,"25,080","25,696",1,left-to-right,bpywiki,wikipedia,bpy,https://bpy.wikipedia.org,Bishnupriya,Wikipedia,Bishnupriya Wikipedia
Tulu Wikipedia,328,"5,388",28.8%,7.5%,0.2%,320,17,8,1,4.6%,0,14.3%,423,3.3%,1.0%,12.2%,1.3%,2.6%,0.85,0,936,"19,444",21,left-to-right,tcywiki,wikipedia,tcy,https://tcy.wikipedia.org,Tulu,Wikipedia,Tulu Wikipedia
Crimean Turkish Wikipedia,329,"12,093",28.5%,6.6%,0.1%,748,16,4,2,5.6%,1,25.0%,337,2.5%,2.6%,1.9%,6.3%,2.5%,0.89,0,"5,881","20,762",4,left-to-right,crhwiki,wikipedia,crh,https://crh.wikipedia.org,Crimean Turkish,Wikipedia,Crimean Turkish Wikipedia
Bosnian Wikiquote,330,"43,056",60.1%,47.6%,0.0%,"9,064",5,1,1,4.9%,0,0.0%,52,1.0%,4.2%,1.9%,35.2%,3.9%,0.87,0,"4,166","25,610",6,left-to-right,bswikiquote,wikiquote,bs,https://bs.wikiquote.org,Bosnian,Wikiquote,Bosnian Wikiquote
Romansh Wikipedia,331,"13,888",18.3%,5.0%,0.1%,689,20,3,2,2.5%,0,12.5%,139,2.0%,4.6%,3.4%,17.4%,2.5%,0.83,0,"3,523","39,600",11,left-to-right,rmwiki,wikipedia,rm,https://rm.wikipedia.org,Romansh,Wikipedia,Romansh Wikipedia
Japanese Wikinews,332,"25,632",66.9%,36.7%,0.0%,"1,561",16,2,2,2.4%,0,0.0%,144,61.1%,3.8%,0.1%,19.4%,8.5%,0.83,0,"1,111","32,224",29,left-to-right,jawikinews,wikinews,ja,https://ja.wikinews.org,Japanese,Wikinews,Japanese Wikinews
Dutch Wikiquote,333,"34,082",46.3%,30.5%,0.0%,"3,098",11,1,2,1.1%,0,0.0%,61,1.0%,1.4%,1.6%,12.8%,9.3%,0.79,0,954,"26,559",28,left-to-right,nlwikiquote,wikiquote,nl,https://nl.wikiquote.org,Dutch,Wikiquote,Dutch Wikiquote
Vietnamese Wikisource,334,"23,950",57.7%,36.2%,0.0%,"2,790",9,2,1,10.3%,0,0.0%,78,6.2%,4.8%,2.9%,23.6%,18.2%,0.81,0,"9,170","29,269",3,left-to-right,viwikisource,wikisource,vi,https://vi.wikisource.org,Vietnamese,Wikisource,Vietnamese Wikisource
Ossetic Wikipedia,335,"18,244",14.3%,4.2%,0.0%,"1,258",15,2,2,5.9%,0,0.0%,341,9.6%,0.5%,0.8%,5.8%,4.2%,0.95,0,"10,857","58,568",5,left-to-right,oswiki,wikipedia,os,https://os.wikipedia.org,Ossetic,Wikipedia,Ossetic Wikipedia
Tuvinian Wikipedia,336,"8,650",21.5%,6.0%,0.0%,752,12,5,1,4.4%,1,44.4%,525,0.3%,3.3%,14.0%,3.1%,1.7%,0.91,0,"1,662","18,363",11,left-to-right,tyvwiki,wikipedia,tyv,https://tyv.wikipedia.org,Tuvinian,Wikipedia,Tuvinian Wikipedia
Picard Wikipedia,337,"14,011",26.6%,6.8%,0.2%,"1,057",13,3,2,3.1%,0,33.3%,122,2.1%,3.5%,6.3%,12.8%,4.7%,0.84,0,"3,691","16,155",4,left-to-right,pcdwiki,wikipedia,pcd,https://pcd.wikipedia.org,Picard,Wikipedia,Picard Wikipedia
Kabyle Wikipedia,338,"11,584",23.6%,7.7%,0.2%,799,15,3,2,15.0%,1,20.0%,389,3.4%,11.3%,8.9%,41.8%,1.3%,0.92,6,"2,844","20,264",7,left-to-right,kabwiki,wikipedia,kab,https://kab.wikipedia.org,Kabyle,Wikipedia,Kabyle Wikipedia
Zulu Wikipedia,339,"13,355",41.8%,10.6%,0.1%,"1,105",12,3,4,12.6%,0,20.0%,582,1.2%,3.9%,2.2%,20.9%,1.3%,0.95,0,955,"8,427",9,left-to-right,zuwiki,wikipedia,zu,https://zu.wikipedia.org,Zulu,Wikipedia,Zulu Wikipedia
Armenian Wikiquote,340,"11,884",45.2%,32.1%,0.0%,"1,209",10,3,1,2.0%,0,0.0%,88,97.6%,0.3%,0.6%,4.3%,3.0%,0.84,0,"1,911","23,433",12,left-to-right,hywikiquote,wikiquote,hy,https://hy.wikiquote.org,Armenian,Wikiquote,Armenian Wikiquote
Icelandic Wiktionary,341,"15,291",40.3%,25.9%,0.0%,"1,731",9,3,2,1.7%,1,50.0%,100,37.1%,1.2%,0.8%,8.6%,4.5%,0.82,0,"22,085","49,877",2,left-to-right,iswiktionary,wiktionary,is,https://is.wiktionary.org,Icelandic,Wiktionary,Icelandic Wiktionary
Veps Wikipedia,342,"12,995",18.4%,4.1%,0.1%,729,18,3,2,6.7%,0,11.1%,"1,217",2.0%,0.2%,0.3%,5.9%,2.9%,0.98,0,"5,697","52,856",9,left-to-right,vepwiki,wikipedia,vep,https://vep.wikipedia.org,Veps,Wikipedia,Veps Wikipedia
Slovak Wiktionary,343,"7,935",35.4%,16.3%,0.0%,750,11,5,2,5.9%,0,50.0%,633,16.6%,1.1%,0.1%,3.3%,0.3%,0.94,0,"24,700","46,183",2,left-to-right,skwiktionary,wiktionary,sk,https://sk.wiktionary.org,Slovak,Wiktionary,Slovak Wiktionary
Nahuatl Wikipedia,344,"15,610",20.9%,5.5%,0.1%,"1,018",15,2,2,4.5%,0,33.3%,138,75.0%,1.8%,3.1%,9.4%,3.1%,0.86,0,"7,007","62,631",9,left-to-right,nahwiki,wikipedia,nah,https://nah.wikipedia.org,Nahuatl,Wikipedia,Nahuatl Wikipedia
Pennsylvania German Wikipedia,345,"21,638",23.9%,10.1%,0.2%,"2,200",10,2,2,7.1%,0,33.3%,74,3.6%,9.1%,8.4%,14.7%,12.9%,0.82,0,"1,817","15,999",9,left-to-right,pdcwiki,wikipedia,pdc,https://pdc.wikipedia.org,Pennsylvania German,Wikipedia,Pennsylvania German Wikipedia
