wiki,overall size rank,monthly unique devices,mobile unique devices,mobile web pageviews,mobile app pageviews,unique devices per editor,monthly editors,monthly active editors,monthly active administrators,majority-mobile editors,monthly new active editors,second-month new editor retention,monthly nonbot edits,bot edits,mobile edits,visual edits,anonymous edits,revert rate,edits Gini coefficient,monthly flow messages,content pages,cumulative content edits,edits per content page,script direction,database code,project code,language code,domain name,language name,project name,wiki name
Piedmontese Wikisource,662,"1,488",0.0%,18.1%,0.0%,776,0,0,1,0.0%,0,0.0%,0,63.6%,0.0%,0.0%,0.0%,0.0%,0.00,0,"4,281",796,0,left-to-right,smwiktionary,wikisource,als,https://sm.wiktionary.org,Tosk,Wiktionary,Piedmontese Wikisource
Punjabi Wikibooks,662,892,23.1%,15.8%,0.0%,764,2,0,0,0.0%,0,0.0%,4,19.1%,8.2%,0.0%,27.6%,0.0%,0.43,0,456,"1,208",3,left-to-right,gvwiktionary,wikibooks,ay,https://gv.wiktionary.org,Aymara,Wikisource,Punjabi Wikibooks
Tosk Wikibooks,662,"1,617",21.8%,4.2%,0.0%,485,0,0,0,0.0%,0,0.0%,0,17.2%,0.0%,1.5%,0.0%,0.0%,0.00,0,245,"6,252",26,left-to-right,hewikinews,wikibooks,mo,https://he.wikinews.org,Moldovan,Wikibooks,Tosk Wikibooks
Bangla Wikivoyage,662,"1,823",0.0%,8.5%,0.0%,728,4,0,0,4.4%,0,0.0%,451,16.7%,0.0%,0.0%,0.1%,0.0%,0.00,0,387,"7,256",19,left-to-right,piwiki,wikipedia,mo,https://tn.wiktionary.org,Oromo,Wikinews,Bangla Wikivoyage
Malagasy Wikibooks,662,"1,299",54.2%,49.6%,0.0%,"1,299",1,0,1,0.0%,0,0.0%,4,44.9%,15.6%,9.3%,40.0%,33.3%,0.51,0,114,"2,059",18,left-to-right,bgwikinews,wikibooks,mg,https://bg.wikinews.org,Malagasy,Wikinews,Malagasy Wikibooks
Nauru Wiktionary,662,"1,472",16.7%,11.0%,0.0%,841,1,0,1,0.0%,0,0.0%,2,47.4%,12.5%,2.8%,0.0%,0.0%,0.28,0,599,"1,612",3,left-to-right,zuwiktionary,wiktionary,na,https://so.wiktionary.org,Uzbek,Wiktionary,Nauru Wiktionary
Afrikaans Wikibooks,662,606,26.9%,20.7%,0.0%,606,2,0,0,0.0%,0,0.0%,4,45.0%,4.2%,0.0%,14.6%,0.0%,0.40,0,56,312,6,left-to-right,kswiktionary,wikibooks,af,https://ks.wiktionary.org,Afrikaans,Wiktionary,Afrikaans Wikibooks
Norwegian Wikinews,662,960,21.2%,8.8%,0.0%,887,3,0,0,7.7%,0,0.0%,7,56.3%,0.0%,0.0%,2.3%,0.0%,0.55,0,"9,276","17,530",2,left-to-right,pnbwiktionary,wikinews,no,https://pnb.wiktionary.org,Norwegian,Wiktionary,Norwegian Wikinews
Pashto Wikivoyage,662,911,0.0%,0.0%,0.0%,911,1,0,0,0.0%,0,0.0%,14,84.7%,0.0%,0.0%,1.8%,0.0%,0.00,0,864,"7,173",8,right-to-left,klwiktionary,wikivoyage,ps,https://kl.wiktionary.org,Pashto,Wiktionary,Pashto Wikivoyage
Scottish Gaelic Wiktionary,662,560,10.5%,7.0%,0.0%,"6,819",1,0,1,0.0%,0,0.0%,12,0.0%,2.1%,3.5%,41.4%,0.0%,0.81,0,12,182,15,left-to-right,dvwiktionary,wikibooks,ky,https://ky.wikiquote.org,Divehi,Wikibooks,Scottish Gaelic Wiktionary
Old English Wiktionary,662,"6,875",10.1%,8.9%,0.0%,"5,893",2,0,0,0.0%,0,0.0%,8,45.7%,2.1%,2.6%,11.5%,4.2%,0.51,0,29,625,22,left-to-right,bswikibooks,wiktionary,ang,https://bs.wikibooks.org,Old English,Wikibooks,Old English Wiktionary
Tosk Wiktionary,662,"1,143",11.4%,16.9%,0.0%,473,0,0,0,0.0%,0,0.0%,0,91.2%,0.0%,2.8%,0.0%,0.0%,0.00,0,304,"1,121",4,left-to-right,bswikinews,wiktionary,als,https://bs.wikinews.org,Tosk,Wikinews,Tosk Wiktionary
Wikiversity Beta,662,"22,873",53.6%,31.9%,0.0%,"13,070",0,0,0,21.1%,0,0.0%,0,41.8%,0.0%,4.4%,0.0%,1.8%,0.98,0,"60,714","21,212",0,left-to-right,jvwiktionary,betawikiversity,en,https://jv.wiktionary.org,English,Wiktionary,Wikiversity Beta
Lingala Wiktionary,662,"1,036",9.9%,5.7%,0.0%,"1,554",2,0,0,12.5%,0,0.0%,4,63.6%,0.0%,0.0%,2.2%,0.0%,0.30,0,366,"1,891",5,left-to-right,rwwiktionary,wiktionary,ln,https://rw.wiktionary.org,Lingala,Wiktionary,Lingala Wiktionary
Tsonga Wiktionary,662,"1,270",11.1%,7.3%,0.0%,846,1,0,0,5.9%,0,0.0%,2,78.3%,0.0%,3.0%,0.0%,0.0%,0.32,0,124,"1,834",15,left-to-right,yiwiktionary,wiktionary,ts,https://yi.wiktionary.org,Tsonga,Wiktionary,Tsonga Wiktionary
Cornish Wiktionary,662,782,9.9%,6.2%,0.0%,626,1,0,1,0.0%,0,0.0%,2,43.9%,0.0%,5.4%,11.1%,0.0%,0.34,0,258,"1,356",5,left-to-right,iuwiktionary,wiktionary,kw,https://iu.wiktionary.org,Cornish,Wiktionary,Cornish Wiktionary
Gujarati Wiktionary,662,"1,640",62.8%,45.9%,0.0%,"1,406",2,0,0,0.0%,0,0.0%,7,11.8%,19.0%,1.7%,20.3%,1.3%,0.51,0,134,"1,486",11,left-to-right,iswikiquote,wiktionary,gu,https://is.wikiquote.org,Gujarati,Wikiquote,Gujarati Wiktionary
Swati Wiktionary,662,883,8.2%,11.2%,0.0%,663,1,0,1,8.3%,0,0.0%,2,40.0%,0.0%,0.0%,9.1%,0.0%,0.35,0,111,646,6,left-to-right,sgwiktionary,wikiquote,ss,https://zu.wiktionary.org,Nauru,Wiktionary,Swati Wiktionary
Chuvash Wikibooks,662,690,35.1%,11.9%,0.0%,591,1,0,1,0.0%,0,0.0%,6,11.1%,1.4%,0.0%,59.2%,5.6%,0.63,0,81,705,9,left-to-right,iawikibooks,wikibooks,cv,https://ia.wikibooks.org,Chuvash,Wikibooks,Chuvash Wikibooks
